Product Name,Category,Dosage Form,Price,Trademark,Brand Origin,Country,Rating
"Gel chấm mụn, mờ thâm Decumar Advance THC 20g dưỡng ẩm da, da mềm, mịn",Chăm sóc cơ thể,Gel,105000.0,DECUMAR,Việt Nam,Việt Nam,5.0
"Bọt vệ sinh nam giới Sumely Men's Sanitary Foam giúp làm sạch, khử và ngăn chặn mùi vùng kín (100ml)","Lăn khử mùi, xịt khử mùi",Dạng bọt,94800.0,NULL,Việt Nam,Việt Nam,5.0
Gội phủ bạc Healthy and lively H4 Lavox màu nâu cà phê (10 gói x 30ml),Dầu gội dầu xả,Dung dịch,28000.0,LAVOX,NULL,Việt Nam,5.0
Gội phủ bạc Healthy and lively H1 Lavox màu đen (10 gói x 30ml),Dầu gội dầu xả,Dung dịch,28000.0,LAVOX,NULL,Việt Nam,5.0
Sữa tắm giảm mụn lưng Neo Acnes tinh chất tràm trà (250ml),"Sữa tắm, xà bông",Dung dịch,179000.0,Neo Acnes,Việt Nam,Việt Nam,5.0
"Sáp dưỡng ẩm Vaseline Fobelife làm mềm da, làm dịu da, cải thiện da bị khô (50g)","Sữa dưỡng thể, kem dưỡng thể",Dạng sáp,68000.0,Fobelife,NULL,Việt Nam,5.0
"Kem thoa da Tiacortisol dưỡng ẩm, làm mềm dịu vùng da bị khô, nhờn (8g)","Dưỡng da bị khô, thiếu ẩm",Dạng kem,12000.0,Thiên Khánh,NULL,Việt Nam,5.0
Son dưỡng lành tính Omi Menturm dành cho môi nhạy cảm giúp tăng cường độ ẩm và làm mềm vùng da môi (3.6g),Son môi,Dạng sáp,99000.0,OMI,Nhật Bản,Nhật Bản,5.0
Son dưỡng ẩm bạc hà Omi Brotherhood Menturm giúp tăng cường độ ẩm và làm mềm vùng da môi (4g),Son môi,Dạng sáp,39000.0,OMI,Nhật Bản,Thái Lan,5.0
Kem bôi dưỡng ẩm To-Plan Okosama Cream giúp dưỡng ẩm và làm mềm mịn da (110g),Chăm sóc cơ thể,Dạng kem,249000.0,OMI,Nhật Bản,Nhật Bản,5.0
Kem dưỡng ẩm mềm mịn và chống nhăn da tay Reihaku Hatomugi Hand Cream (65g),"Kem dưỡng da tay, chân",Dạng kem,100000.0,HATOMUGI,Nhật Bản,Nhật Bản,NULL
