Product Name,Category,Dosage Form,Price,Trademark,Brand Origin,Country,Rating,Continent,General_function,Predicted_Rating
Gel rửa mặt SVR Sebiaclear Gel Moussant 200ml làm sạch không chứa xà phòng và loại bỏ tế bào da chết,Chăm sóc cơ thể,Viên nén,390000.0,375,Pháp,23,unknown,Europe,0,4.944463730900995
Gội phủ bạc Healthy and lively H1 Lavox màu đen (10 gói x 30ml),Dầu gội dầu xả,Dung dịch,22400.0,214,Việt Nam,38,unknown,Asia,3,4.919374707595065
Sữa chống nắng dưỡng ẩm kiềm dầu NeoAqua Sunscreen Expert Milk SPF50+ (30ml),Chống nắng toàn thân,Viên nén,151200.0,290,Việt Nam,38,unknown,Asia,0,4.968479990363318
"Dầu gió lăn Red Lion Medicated Oil Yellow Agimexpharm ấm da vùng xoa, sử dụng massage hỗ trợ thư giãn (10ml)",Chăm sóc cơ thể,Viên nén,39000.0,14,Việt Nam,38,unknown,Asia,0,4.975478743093264
"Dầu gió lăn Red Lion Medicated Oil White Agimexpharm ấm da vùng xoa, sử dụng massage hỗ trợ thư giãn (10ml)",Chăm sóc cơ thể,Viên nén,39000.0,14,Việt Nam,38,unknown,Asia,0,4.975478743093264
"Xịt PanSpray Panthenol hỗ trợ giảm đau, rát, hạn chế tổn thương, viêm nhiễm da (130g)",Trị nứt da,Dạng xịt,155000.0,328,Việt Nam,38,unknown,Asia,7,4.919240855763168
"Tinh dầu tràm ngâm củ nén Mệ Đoan phòng và điều trị cảm cúm, trúng gió, ho, ngạt mũi, long đờm (50ml)",Tinh dầu,Viên nén,185000.0,261,Việt Nam,38,unknown,Asia,12,4.9353970050913505
"Mặt nạ Marine Luminous Pearl Deep Moisture Mask Peal JMsolution tăng cường dưỡng ẩm, dưỡng trắng (30ml)",Mặt nạ,Viên nén,22400.0,208,Hàn Quốc,11,unknown,Asia,1,4.9307532783863595
Gel nhuộm tóc phủ bạc Flash Lavox G01 màu đen (150ml),Dầu gội dầu xả,Gel,158000.0,214,Việt Nam,38,unknown,Asia,3,4.844560600999475
Kem dưỡng ẩm mềm mịn và chống nhăn da tay Reihaku Hatomugi Hand Cream (65g),"Kem dưỡng da tay, chân",Dạng kem,70000.0,151,Nhật Bản,22,unknown,Asia,0,4.973476034740049
"Xịt Panthenol Nano Bạc Spray Bimex dưỡng da, duy trì độ ẩm cho da (130g)",Chăm sóc cơ thể,Viên nén,155000.0,34,Việt Nam,38,unknown,Asia,0,4.9500040993984
"Gel làm nóng Starbalm Warm Gel thư giãn cơ, hạn chế chấn thương do vận động, mỏi cơ (100ml)",Massage,Viên nén,175000.0,392,Hà Lan,10,unknown,Europe,0,4.98225469406621
"Kem dưỡng chống nứt gót chân Fixderma Foot Cream cung cấp độ ẩm, làm mềm da gót chân (60g)",Trị nứt da,Dạng kem,209000.0,124,Mỹ,44,unknown,Asia,7,4.902300524701172
"Kem Preggers Soothing Nipple Cream Fixderma hỗ trợ dưỡng ẩm, phục hồi, làm dịu núm vú bị khô (20g)",Chăm sóc cơ thể,Dạng kem,305000.0,124,Mỹ,44,unknown,Asia,0,4.846495867847686
"Mặt nạ Active Golden Caviar Nourishing Mask JMsolution cung cấp độ ẩm, giáp sáng màu da, giúp da căng mịn (30ml)",Mặt nạ,Viên nén,22400.0,208,Hàn Quốc,11,unknown,Asia,1,4.9307532783863595
"Mặt nạ Active Birds' Nest Moisture Mask JMsolution cung cấp độ ẩm cho da, giúp sáng màu da và giúp da căng mịn (30ml)",Mặt nạ,Viên nén,22400.0,208,Hàn Quốc,11,unknown,Asia,1,4.9307532783863595
Mặt nạ Water Luminous S.O.S Ringer Mask JMsolution làm dịu và cung cấp độ ẩm cho làn da khô (35ml),Mặt nạ,Viên nén,22400.0,208,Hàn Quốc,11,unknown,Asia,1,4.9307532783863595
Mặt nạ Placen Lanolin Mask JMsolution dưỡng ẩm và cung cấp độ ẩm trên da (30ml),Mặt nạ,Viên nén,22400.0,208,Hàn Quốc,11,unknown,Asia,1,4.9307532783863595
"Bọt vệ sinh phụ nữ Lá Sen Natural Feminine làm sạch, dịu da, giảm thâm sạm (160ml)","Lăn khử mùi, xịt khử mùi",Dạng bọt,103200.0,281,Việt Nam,38,unknown,Asia,0,4.96689109949269
"Bọt vệ sinh phụ nữ Natural Feminine làm sạch, thơm mát, duy trì cân bằng PH (160ml)","Lăn khử mùi, xịt khử mùi",Dạng bọt,107200.0,281,Việt Nam,38,unknown,Asia,0,4.967419945646537
Gel nhuộm tóc phủ bạc Flash Lavox G04 màu nâu cà phê (150ml),Dầu gội dầu xả,Gel,158000.0,214,Việt Nam,38,unknown,Asia,3,4.844560600999475
"Kem dưỡng Fixderma Nigrilite Cream làm sạch tế bào da chết, mờ thâm, sáng da sẫm màu (50g)","Da sạm, xỉn màu",Dạng kem,200000.0,124,Mỹ,44,unknown,Asia,7,4.851934065164412
Khử mùi dạng xịt Etiaxil Déodorant Anti - Transpirant Protection 48h Pieds kiểm soát tuyến mồ hôi chân (100ml),"Lăn khử mùi, xịt khử mùi",Dạng xịt,217500.0,109,Pháp,23,unknown,Europe,0,4.981201989710979
Mặt nạ ngủ mặt dạng gel Care:Nel Aqua Night Mask dưỡng ẩm cho da suốt 8 giờ (15ml),Dưỡng da mặt,Dạng kem,35000.0,57,Hàn Quốc,11,unknown,Asia,1,4.908437017322848
"Mặt nạ ngủ môi Care:Nel Berry Lip Night Mask dưỡng ẩm, ngừa thâm dành cho môi phun xăm, nhạy cảm, môi trị liệu (5g)",Mỹ phẩm trang điểm,Dạng sáp,35000.0,57,Hàn Quốc,11,unknown,Asia,10,4.978898302727167
Nước nhuộm phủ bạc - đen tự nhiên Seedbee Water Coloring Natural Black (30g),Chăm sóc tóc - da đầu,Dung dịch,239200.0,263,Hàn Quốc,11,unknown,Asia,3,4.945629564928295
Mặt nạ Banobagi stem cell vitamin mask whitening & relaxing revital làm dịu và giảm viêm da (30g),Mặt nạ,Viên nén,28000.0,39,Hàn Quốc,11,unknown,Asia,1,4.950154726589596
Mặt nạ Banobagi Stem Cell Vitamin Mask Whitening And Moisture hỗ trợ cấp ẩm và dưỡng sáng da (30g),Mặt nạ,Viên nén,28000.0,39,Hàn Quốc,11,unknown,Asia,1,4.950154726589596
"Mặt nạ Banobagi Stem Cell Vitamin Mask Whitening & Aqua Hydrating cấp ẩm cho da, sáng màu da (30g)",Mặt nạ,Viên nén,28000.0,39,Hàn Quốc,11,unknown,Asia,1,4.950154726589596
"Mặt nạ Banobagi Stem Cell Vitamin Mask Whitening & Dark Spot Care chống nhăn da, trắng da, mờ nám (30g)",Mặt nạ,Viên nén,28000.0,39,Hàn Quốc,11,unknown,Asia,1,4.950154726589596
Dầu tẩy trang làm sạch sâu Softymo Deep Cleansing Oil lớp trang điểm trên bề mặt da (230ml),"Nước tẩy trang, dầu tẩy trang",Dạng dầu,143200.0,208,Nhật Bản,22,unknown,Asia,1,4.978631996054017
Dầu tẩy trang Softymo Speedy Cleansing Oil Kosé làm sạch nhanh lớp mascara và trang điểm trên da (230ml),"Nước tẩy trang, dầu tẩy trang",Dạng dầu,143200.0,208,Nhật Bản,22,unknown,Asia,1,4.978631996054017
Lăn khử mùi EtiaXil Détranspirant Tolérance Transpiration excessive 15ml đặc trị dành cho da siêu nhạy cảm,"Lăn khử mùi, xịt khử mùi",Viên nén,268800.0,109,Pháp,42,unknown,Europe,0,4.981537049366963
"Son dưỡng bảo vệ môi Sebamed Lip Defense SPF30 cung cấp độ ẩm cho môi khô (4,8g)",Son môi,Viên nén,149000.0,382,Đức,43,unknown,Europe,10,4.874434741569395
"Son dưỡng bảo vệ môi hương dâu Sebamed Lip Defense (4,8g)",Son môi,Viên nén,149000.0,382,Đức,43,unknown,Europe,10,4.874434741569395
"Dầu gội đầu Extreme Dry Skin Relief Shampoo 5% Urea Sebamed giảm khô, ngứa  (200ml)",Dầu gội dầu xả,Viên nén,338000.0,382,Đức,43,unknown,Europe,3,4.879537292925106
"Kem Sebamed Extreme Dry Skin Relief Face Cream 5% dưỡng ẩm, làm dịu, phục hồi da khô, viêm da cơ địa (50ml)","Sữa dưỡng thể, kem dưỡng thể",Dạng kem,400000.0,382,Đức,43,unknown,Europe,0,4.965746304919322
Dầu gội khô Batiste hương anh đào Dry Shampoo Fruity And Cheeky Cherry (200ml),Dầu gội dầu xả,Viên nén,156000.0,70,Hoa Kỳ,0,unknown,Europe,3,4.932919202738027
